                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5597,                 3.7301,                 1.5938,                0.01071,                0.77139,                0.08832,                0.04999,                 1.4512,                 3.3368,                  1.657,             0.00025008,             0.00025008,             0.00025008
                      2,                 1.5186,                 2.9545,                 1.5116,                0.18203,                0.39621,                0.17811,                0.10693,                 1.5104,                 2.8588,                 1.7879,             0.00049639,             0.00049639,             0.00049639
                      3,                 1.5237,                 2.6401,                 1.5091,                 0.3027,                0.46149,                0.26303,                0.14792,                 1.5463,                 2.4986,                 1.8585,             0.00073254,             0.00073254,             0.00073254
                      4,                 1.5206,                 2.4935,                 1.5145,                0.28624,                0.27597,                0.27171,                0.16916,                  1.484,                 2.2855,                 1.7196,             0.00072332,             0.00072332,             0.00072332
                      5,                 1.4769,                 2.3676,                 1.5206,                 0.2706,                0.49042,                0.26504,                0.15292,                 1.4712,                 2.3311,                 1.6675,              0.0007081,              0.0007081,              0.0007081
                      6,                 1.4562,                 2.2791,                 1.4649,                0.22038,                0.38898,                 0.2555,                0.16423,                 1.3772,                 2.2002,                 1.5296,             0.00069287,             0.00069287,             0.00069287
                      7,                 1.4231,                 2.1875,                 1.4393,                0.30919,                0.44184,                0.31766,                0.18279,                 1.5179,                  2.092,                 1.6893,             0.00067764,             0.00067764,             0.00067764
                      8,                 1.4402,                 2.1738,                 1.4382,                0.26237,                0.53389,                0.30264,                0.17633,                 1.4582,                 2.0214,                 1.6645,             0.00066242,             0.00066242,             0.00066242
                      9,                 1.4206,                 2.0558,                 1.4411,                0.40927,                0.45002,                 0.3342,                0.20067,                 1.4601,                 2.1428,                 1.6791,             0.00064719,             0.00064719,             0.00064719
                     10,                 1.4032,                 1.9658,                 1.4056,                0.28928,                0.40068,                0.30772,                0.19152,                 1.4454,                 2.1145,                 1.6645,             0.00063196,             0.00063196,             0.00063196
                     11,                 1.3718,                  1.916,                 1.3967,                0.38916,                0.50846,                0.39814,                0.24424,                 1.3698,                 1.9835,                 1.6281,             0.00061674,             0.00061674,             0.00061674
                     12,                 1.3841,                 1.9194,                 1.4052,                0.36126,                0.45358,                0.35652,                0.21879,                 1.4609,                 1.9893,                 1.6689,             0.00060151,             0.00060151,             0.00060151
                     13,                 1.3764,                 1.8433,                 1.3913,                0.35883,                0.50572,                0.40342,                0.25891,                 1.3874,                 1.9954,                 1.5425,             0.00058629,             0.00058629,             0.00058629
                     14,                 1.3633,                 1.8717,                 1.3864,                0.35664,                 0.4798,                0.39929,                0.24347,                 1.4456,                 1.9561,                   1.64,             0.00057106,             0.00057106,             0.00057106
                     15,                 1.3339,                 1.7984,                 1.3673,                0.33543,                0.44047,                0.38341,                0.24448,                 1.3714,                  2.006,                 1.5143,             0.00055583,             0.00055583,             0.00055583
                     16,                 1.3285,                 1.7472,                 1.3752,                 0.4167,                0.54688,                0.42871,                0.27108,                 1.4266,                 1.8509,                 1.6237,             0.00054061,             0.00054061,             0.00054061
                     17,                  1.341,                 1.7631,                 1.3632,                0.39698,                0.39786,                0.37681,                0.23466,                 1.4205,                 1.9787,                  1.613,             0.00052538,             0.00052538,             0.00052538
                     18,                 1.3169,                 1.7033,                 1.3559,                0.38584,                0.37369,                0.31173,                0.18773,                 1.4647,                 2.2174,                 1.6567,             0.00051015,             0.00051015,             0.00051015
                     19,                 1.3094,                 1.6506,                  1.335,                0.41109,                0.46179,                0.44918,                0.28634,                 1.4348,                 1.8002,                  1.613,             0.00049493,             0.00049493,             0.00049493
                     20,                 1.3171,                 1.6186,                 1.3529,                0.41773,                0.55149,                0.47443,                0.30374,                 1.4386,                 1.8166,                 1.6852,              0.0004797,              0.0004797,              0.0004797
                     21,                 1.3256,                 1.5536,                 1.3433,                0.36613,                0.55439,                0.40312,                0.26029,                 1.4366,                 1.9878,                 1.5923,             0.00046448,             0.00046448,             0.00046448
                     22,                 1.2494,                 1.5163,                 1.3302,                0.43099,                0.45013,                0.44295,                0.29819,                 1.4275,                 1.7982,                 1.6234,             0.00044925,             0.00044925,             0.00044925
                     23,                 1.2436,                 1.4829,                 1.3132,                0.51767,                0.43255,                0.46688,                0.30618,                 1.3863,                 1.8086,                 1.5663,             0.00043402,             0.00043402,             0.00043402
                     24,                 1.2555,                 1.5136,                  1.328,                0.45691,                0.48353,                 0.4052,                0.26535,                 1.2994,                 2.0693,                 1.5065,              0.0004188,              0.0004188,              0.0004188
                     25,                 1.2461,                 1.4888,                   1.32,                0.41581,                0.53844,                0.47643,                0.31417,                 1.4629,                 1.8504,                 1.6392,             0.00040357,             0.00040357,             0.00040357
                     26,                 1.2689,                 1.4349,                 1.3029,                0.41837,                0.49782,                0.46465,                0.32239,                 1.3257,                 1.8035,                 1.5458,             0.00038835,             0.00038835,             0.00038835
                     27,                  1.248,                 1.3904,                 1.2971,                0.47313,                0.47141,                0.44761,                0.30662,                 1.3308,                 1.7137,                 1.5323,             0.00037312,             0.00037312,             0.00037312
                     28,                 1.2585,                 1.3772,                 1.3064,                 0.4648,                0.51148,                0.44874,                0.30415,                 1.3035,                    1.8,                 1.4797,             0.00035789,             0.00035789,             0.00035789
                     29,                 1.2326,                 1.3472,                  1.284,                0.32287,                0.40428,                0.36597,                0.23567,                 1.3458,                 2.0279,                 1.6059,             0.00034267,             0.00034267,             0.00034267
